run_id,conv_channels,kernel_size,dropout,dense_units,val_f1,test_f1
1,16-32,3,0.3,64,0.145889612797288,0.13353548966756515
2,16-32,3,0.3,128,0.1274870344177275,0.12335164835164837
3,16-32,3,0.5,64,0.14956461163357718,0.13624338624338622
4,16-32,3,0.5,128,0.12753739316239315,0.11935550082101806
5,16-32,5,0.3,64,0.1474384473228418,0.1349020916777926
6,16-32,5,0.3,128,0.12229400131839155,0.13399880318600138
7,16-32,5,0.5,64,0.12489177489177489,0.12694805194805195
8,16-32,5,0.5,128,0.1444268635724332,0.14452380952380953
9,16-32-64,3,0.3,64,0.12275978064224333,0.12265951103160407
10,16-32-64,3,0.3,128,0.11617874676533894,0.10012515644555695
11,16-32-64,3,0.5,64,0.13788192199956906,0.13624338624338622
12,16-32-64,3,0.5,128,0.12162350793004059,0.1191428249605767
13,16-32-64,5,0.3,64,0.1471590909090909,0.1285714285714286
14,16-32-64,5,0.3,128,0.11002886002886003,0.11052624695943296
15,16-32-64,5,0.5,64,0.11831103678929765,0.12310606060606061
16,16-32-64,5,0.5,128,0.13023803620133892,0.13204318062137968
