run_id,neighbors,metric,weights,p_value,val_f1,test_f1
1,3,minkowski,distance,1,0.4719645327010472,0.3513548951048951
2,3,minkowski,distance,2,0.44317765567765566,0.4692642956764295
3,3,minkowski,uniform,1,0.3753333983866771,0.34532866018221664
4,3,minkowski,uniform,2,0.4176804350559537,0.4763373881020939
5,3,euclidean,distance,1,0.44317765567765566,0.4692642956764295
6,3,euclidean,distance,2,0.44317765567765566,0.4692642956764295
7,3,euclidean,uniform,1,0.4176804350559537,0.4763373881020939
8,3,euclidean,uniform,2,0.4176804350559537,0.4763373881020939
9,3,manhattan,distance,1,0.4719645327010472,0.3513548951048951
10,3,manhattan,distance,2,0.4719645327010472,0.3513548951048951
11,3,manhattan,uniform,1,0.3753333983866771,0.34532866018221664
12,3,manhattan,uniform,2,0.3753333983866771,0.34532866018221664
13,5,minkowski,distance,1,0.4113778298204528,0.34399754809505845
14,5,minkowski,distance,2,0.44229634002361273,0.4640694904816243
15,5,minkowski,uniform,1,0.3639663182346109,0.2604437229437229
16,5,minkowski,uniform,2,0.24142228029423152,0.36893696581196583
17,5,euclidean,distance,1,0.44229634002361273,0.4640694904816243
18,5,euclidean,distance,2,0.44229634002361273,0.4640694904816243
19,5,euclidean,uniform,1,0.24142228029423152,0.36893696581196583
20,5,euclidean,uniform,2,0.24142228029423152,0.36893696581196583
21,5,manhattan,distance,1,0.4113778298204528,0.34399754809505845
22,5,manhattan,distance,2,0.4113778298204528,0.34399754809505845
23,5,manhattan,uniform,1,0.3639663182346109,0.2604437229437229
24,5,manhattan,uniform,2,0.3639663182346109,0.2604437229437229
25,7,minkowski,distance,1,0.31348081742818584,0.2950039848575413
26,7,minkowski,distance,2,0.2856182795698925,0.2739217905193009
27,7,minkowski,uniform,1,0.24889748409485252,0.2262347279852467
28,7,minkowski,uniform,2,0.25240246701090074,0.18287037037037038
29,7,euclidean,distance,1,0.2856182795698925,0.2739217905193009
30,7,euclidean,distance,2,0.2856182795698925,0.2739217905193009
31,7,euclidean,uniform,1,0.25240246701090074,0.18287037037037038
32,7,euclidean,uniform,2,0.25240246701090074,0.18287037037037038
33,7,manhattan,distance,1,0.31348081742818584,0.2950039848575413
34,7,manhattan,distance,2,0.31348081742818584,0.2950039848575413
35,7,manhattan,uniform,1,0.24889748409485252,0.2262347279852467
36,7,manhattan,uniform,2,0.24889748409485252,0.2262347279852467
37,9,minkowski,distance,1,0.2152222222222222,0.2902388068363172
38,9,minkowski,distance,2,0.2970453241537579,0.27341597796143247
39,9,minkowski,uniform,1,0.18449416619237335,0.22007411780139052
40,9,minkowski,uniform,2,0.25240246701090074,0.1917989417989418
41,9,euclidean,distance,1,0.2970453241537579,0.27341597796143247
42,9,euclidean,distance,2,0.2970453241537579,0.27341597796143247
43,9,euclidean,uniform,1,0.25240246701090074,0.1917989417989418
44,9,euclidean,uniform,2,0.25240246701090074,0.1917989417989418
45,9,manhattan,distance,1,0.2152222222222222,0.2902388068363172
46,9,manhattan,distance,2,0.2152222222222222,0.2902388068363172
47,9,manhattan,uniform,1,0.18449416619237335,0.22007411780139052
48,9,manhattan,uniform,2,0.18449416619237335,0.22007411780139052
