run_id,conv_channels,kernel_size,dropout,dense_units,val_f1,test_f1
1,16-32,3,0.3,64,0.6051934287228404,0.5732731420804815
2,16-32,3,0.3,128,0.6164187643020594,0.5732731420804815
3,16-32,3,0.5,64,0.5981624537185172,0.6072601156069364
4,16-32,3,0.5,128,0.6696529568797791,0.6240998119352323
5,16-32,5,0.3,64,0.6166690937333139,0.5753734276729561
6,16-32,5,0.3,128,0.6500897914076531,0.6130235632998065
7,16-32,5,0.5,64,0.687203358890106,0.6173600410888547
8,16-32,5,0.5,128,0.6497287522603978,0.6040268456375839
9,16-32-64,3,0.3,64,0.7023461091753773,0.6130235632998065
10,16-32-64,3,0.3,128,0.6696529568797792,0.6306062654947037
11,16-32-64,3,0.5,64,0.7024328249818446,0.6043040293040294
12,16-32-64,3,0.5,128,0.63625678119349,0.5971521268925739
13,16-32-64,5,0.3,64,0.6331242740998839,0.5874861572535991
14,16-32-64,5,0.3,128,0.6590389016018308,0.6051934287228404
15,16-32-64,5,0.5,64,0.6439338235294118,0.6056042351223074
16,16-32-64,5,0.5,128,0.6307494052339413,0.5677270908363345
