run_id,neighbors,metric,weights,p_value,val_f1,test_f1
1,3,minkowski,distance,1,0.5033566499225388,0.5796994219653179
2,3,minkowski,distance,2,0.46685499058380414,0.5681159420289855
3,3,minkowski,uniform,1,0.5033566499225388,0.5796994219653179
4,3,minkowski,uniform,2,0.46685499058380414,0.5681159420289855
5,3,euclidean,distance,1,0.46685499058380414,0.5681159420289855
6,3,euclidean,distance,2,0.46685499058380414,0.5681159420289855
7,3,euclidean,uniform,1,0.46685499058380414,0.5681159420289855
8,3,euclidean,uniform,2,0.46685499058380414,0.5681159420289855
9,3,manhattan,distance,1,0.5033566499225388,0.5796994219653179
10,3,manhattan,distance,2,0.5033566499225388,0.5796994219653179
11,3,manhattan,uniform,1,0.5033566499225388,0.5796994219653179
12,3,manhattan,uniform,2,0.5033566499225388,0.5796994219653179
13,5,minkowski,distance,1,0.5199607788205631,0.5285923407470369
14,5,minkowski,distance,2,0.5117041198501873,0.5539558089807555
15,5,minkowski,uniform,1,0.5199607788205631,0.5229755178907721
16,5,minkowski,uniform,2,0.5117041198501873,0.5539558089807555
17,5,euclidean,distance,1,0.5117041198501873,0.5539558089807555
18,5,euclidean,distance,2,0.5117041198501873,0.5539558089807555
19,5,euclidean,uniform,1,0.5117041198501873,0.5539558089807555
20,5,euclidean,uniform,2,0.5117041198501873,0.5539558089807555
21,5,manhattan,distance,1,0.5199607788205631,0.5285923407470369
22,5,manhattan,distance,2,0.5199607788205631,0.5285923407470369
23,5,manhattan,uniform,1,0.5199607788205631,0.5229755178907721
24,5,manhattan,uniform,2,0.5199607788205631,0.5229755178907721
25,7,minkowski,distance,1,0.5145204703215753,0.5370056497175141
26,7,minkowski,distance,2,0.49171539961013644,0.5681159420289855
27,7,minkowski,uniform,1,0.5145204703215753,0.5370056497175141
28,7,minkowski,uniform,2,0.49171539961013644,0.5681159420289855
29,7,euclidean,distance,1,0.49171539961013644,0.5681159420289855
30,7,euclidean,distance,2,0.49171539961013644,0.5681159420289855
31,7,euclidean,uniform,1,0.49171539961013644,0.5681159420289855
32,7,euclidean,uniform,2,0.49171539961013644,0.5681159420289855
33,7,manhattan,distance,1,0.5145204703215753,0.5370056497175141
34,7,manhattan,distance,2,0.5145204703215753,0.5370056497175141
35,7,manhattan,uniform,1,0.5145204703215753,0.5370056497175141
36,7,manhattan,uniform,2,0.5145204703215753,0.5370056497175141
37,9,minkowski,distance,1,0.524578034682081,0.5396067415730337
38,9,minkowski,distance,2,0.5334104157633569,0.5681159420289855
39,9,minkowski,uniform,1,0.524578034682081,0.5396067415730337
40,9,minkowski,uniform,2,0.5334104157633569,0.5681159420289855
41,9,euclidean,distance,1,0.5334104157633569,0.5681159420289855
42,9,euclidean,distance,2,0.5334104157633569,0.5681159420289855
43,9,euclidean,uniform,1,0.5334104157633569,0.5681159420289855
44,9,euclidean,uniform,2,0.5334104157633569,0.5681159420289855
45,9,manhattan,distance,1,0.524578034682081,0.5396067415730337
46,9,manhattan,distance,2,0.524578034682081,0.5396067415730337
47,9,manhattan,uniform,1,0.524578034682081,0.5396067415730337
48,9,manhattan,uniform,2,0.524578034682081,0.5396067415730337
