run_id,conv_channels,kernel_size,dropout,dense_units,val_f1,test_f1
1,16-32,3,0.3,64,1.0,1.0
2,16-32,3,0.3,128,1.0,1.0
3,16-32,3,0.5,64,0.9944388270980788,0.9972240720619677
4,16-32,3,0.5,128,0.9944388270980788,1.0
5,16-32,5,0.3,64,1.0,1.0
6,16-32,5,0.3,128,0.9972240720619677,0.9972240720619677
7,16-32,5,0.5,64,0.9944388270980788,1.0
8,16-32,5,0.5,128,0.9944388270980788,1.0
9,16-32-64,3,0.3,64,1.0,1.0
10,16-32-64,3,0.3,128,1.0,1.0
11,16-32-64,3,0.5,64,1.0,1.0
12,16-32-64,3,0.5,128,1.0,1.0
13,16-32-64,5,0.3,64,0.9972240720619677,1.0
14,16-32-64,5,0.3,128,0.9972147001934235,1.0
15,16-32-64,5,0.5,64,0.9972147001934235,1.0
16,16-32-64,5,0.5,128,1.0,1.0
