run_id,neighbors,metric,weights,p_value,val_f1,test_f1
1,3,minkowski,distance,1,1.0,0.9972147001934235
2,3,minkowski,distance,2,1.0,0.9972147001934235
3,3,minkowski,uniform,1,1.0,0.9972147001934235
4,3,minkowski,uniform,2,1.0,0.9972147001934235
5,3,euclidean,distance,1,1.0,0.9972147001934235
6,3,euclidean,distance,2,1.0,0.9972147001934235
7,3,euclidean,uniform,1,1.0,0.9972147001934235
8,3,euclidean,uniform,2,1.0,0.9972147001934235
9,3,manhattan,distance,1,1.0,0.9972147001934235
10,3,manhattan,distance,2,1.0,0.9972147001934235
11,3,manhattan,uniform,1,1.0,0.9972147001934235
12,3,manhattan,uniform,2,1.0,0.9972147001934235
13,5,minkowski,distance,1,1.0,0.9972147001934235
14,5,minkowski,distance,2,1.0,0.9972147001934235
15,5,minkowski,uniform,1,1.0,0.9972147001934235
16,5,minkowski,uniform,2,1.0,0.9972147001934235
17,5,euclidean,distance,1,1.0,0.9972147001934235
18,5,euclidean,distance,2,1.0,0.9972147001934235
19,5,euclidean,uniform,1,1.0,0.9972147001934235
20,5,euclidean,uniform,2,1.0,0.9972147001934235
21,5,manhattan,distance,1,1.0,0.9972147001934235
22,5,manhattan,distance,2,1.0,0.9972147001934235
23,5,manhattan,uniform,1,1.0,0.9972147001934235
24,5,manhattan,uniform,2,1.0,0.9972147001934235
25,7,minkowski,distance,1,1.0,0.9972147001934235
26,7,minkowski,distance,2,1.0,0.9972147001934235
27,7,minkowski,uniform,1,1.0,0.9972147001934235
28,7,minkowski,uniform,2,1.0,0.9972147001934235
29,7,euclidean,distance,1,1.0,0.9972147001934235
30,7,euclidean,distance,2,1.0,0.9972147001934235
31,7,euclidean,uniform,1,1.0,0.9972147001934235
32,7,euclidean,uniform,2,1.0,0.9972147001934235
33,7,manhattan,distance,1,1.0,0.9972147001934235
34,7,manhattan,distance,2,1.0,0.9972147001934235
35,7,manhattan,uniform,1,1.0,0.9972147001934235
36,7,manhattan,uniform,2,1.0,0.9972147001934235
37,9,minkowski,distance,1,1.0,0.9972147001934235
38,9,minkowski,distance,2,1.0,0.9972147001934235
39,9,minkowski,uniform,1,1.0,0.9972147001934235
40,9,minkowski,uniform,2,1.0,0.9972147001934235
41,9,euclidean,distance,1,1.0,0.9972147001934235
42,9,euclidean,distance,2,1.0,0.9972147001934235
43,9,euclidean,uniform,1,1.0,0.9972147001934235
44,9,euclidean,uniform,2,1.0,0.9972147001934235
45,9,manhattan,distance,1,1.0,0.9972147001934235
46,9,manhattan,distance,2,1.0,0.9972147001934235
47,9,manhattan,uniform,1,1.0,0.9972147001934235
48,9,manhattan,uniform,2,1.0,0.9972147001934235
